University,Section,Voyant-Tools,HTML,Links v Corpus,UniAndSection,Length,percent of total,Sub sections,Vocabulary Density,Words Per Sentence,Theme1,Theme2,Theme3,Theme4,Theme5,Theme6,theme7
Algoma University,"Vision, Mission and Mandate",https://voyant-tools.org/?corpus=4d95b63806e2023bee54b5988d2bfcd2,<a href='https://voyant-tools.org/?corpus=4d95b63806e2023bee54b5988d2bfcd2'>Algoma University</a>,No research,"Algoma University: Vision, Mission and Mandate",695,7%,4,43%,77.2,regional,aboriginal,undergraduate ,transformative education,,northern,Anishinaabe
Algoma University,Student Experience,https://voyant-tools.org/?corpus=b01e6ef1d5d1718ac92331ae5f31c3d0,<a href='https://voyant-tools.org/?corpus=b01e6ef1d5d1718ac92331ae5f31c3d0'>Algoma University</a>,"Lots on Commons space, Co-Curricular Record #10",Algoma University: Student Experience,1170,12%,6,39%,27.9,encouragement,retention,co-curricular,learning,first-year,,
Algoma University,Innovation in Teaching and Learning Excellence,https://voyant-tools.org/?corpus=f2fc0173dd72871357aa76001b4c7c6c,<a href='https://voyant-tools.org/?corpus=f2fc0173dd72871357aa76001b4c7c6c'>Algoma University</a>,"opportunities #3, lots of co-op",Algoma University: Innovation in Teaching and Learning Excellence,1017,11%,5,40%,27.5,community,college pathway,opportunities,experiential ,,,
Algoma University,Access and Equity,https://voyant-tools.org/?corpus=8f9a04520bca8c04744a23cb1daa8dce,<a href='https://voyant-tools.org/?corpus=8f9a04520bca8c04744a23cb1daa8dce'>Algoma University</a>,"college (pathways) #5, specific indigenous: Anishinaabe ",Algoma University: Access and Equity,1076,11%,5,40%,25,northern,aboriginal,Anishinaabe,pathways,equitable access,,
Algoma University,Research Excellence and Impact,https://voyant-tools.org/?corpus=b13a6876ec08c5d8cb5e50225cdbb321,<a href='https://voyant-tools.org/?corpus=b13a6876ec08c5d8cb5e50225cdbb321'>Algoma University</a>,"community #5, northern #6, aboriginal #9",Algoma University: Research Excellence and Impact,1661,17%,9,353%,26,community,hub,northern,partnerships,Indigenous ,,
Algoma University,"Innovation, Economic Development and Community Engagement",https://voyant-tools.org/?corpus=61e30a7788ae3f01c6662408254c4a0c,<a href='https://voyant-tools.org/?corpus=61e30a7788ae3f01c6662408254c4a0c'>Algoma University</a>,"shingwauk (community) #3, residential (schools) #6, healing #11","Algoma University: Innovation, Economic Development and Community Engagement",1599,17%,4,38%,28.1,aboriginal ,region,Innovation Centre,,partnerships ,education,
Brock University,"Vision, Mission and Mandate",https://voyant-tools.org/?corpus=7202f88fe1f6142969c079426a1b1ee1,<a href='https://voyant-tools.org/?corpus=7202f88fe1f6142969c079426a1b1ee1'>Brock University</a>,Community #2,"Brock University: Vision, Mission and Mandate",691,8%,5,41%,36.4,community,health,Niagara,economic,,,
Brock University,Student Experience,https://voyant-tools.org/?corpus=4fedb22f7d328ec927e0d689a3c60a4f,<a href='https://voyant-tools.org/?corpus=4fedb22f7d328ec927e0d689a3c60a4f'>Brock University</a>,"carear #4, expereience #11",Brock University: Student Experience,719,8%,3,48%,30,students,career,experience, co-curriculum,community engagement,,
Brock University,Innovation in Teaching and Learning Excellence,https://voyant-tools.org/?corpus=5745d2dfea86d71cdebedcd729a2d28b,<a href='https://voyant-tools.org/?corpus=5745d2dfea86d71cdebedcd729a2d28b'>Brock University</a>,experiential #3,Brock University: Innovation in Teaching and Learning Excellence,800,9%,3,44%,26.7,learning outcomes,growth,experience,community,pathways,Flexible ,
Brock University,Access and Equity,https://voyant-tools.org/?corpus=6225c611bee5550e02b802451aea9429,<a href='https://voyant-tools.org/?corpus=6225c611bee5550e02b802451aea9429'>Brock University</a>,health and wellness #5,Brock University: Access and Equity,545,6%,3,40%,25.8,indigenous,mental health,Niagara,,,,
Brock University,Research Excellence and Impact,https://voyant-tools.org/?corpus=6633542dff5a6ec6c7c8e3a7c376f010,<a href='https://voyant-tools.org/?corpus=6633542dff5a6ec6c7c8e3a7c376f010'>Brock University</a>,"niagara (region) #2, community #4, youth #6, faculty #27",Brock University: Research Excellence and Impact,1282,15%,3,43%,33.7,Niagara,transdisciplinary,community,hub,,,
Brock University,"Innovation, Economic Development and Community Engagement",https://voyant-tools.org/?corpus=4b7c4cddcb0380ed58b422dbeec9b070,<a href='https://voyant-tools.org/?corpus=4b7c4cddcb0380ed58b422dbeec9b070'>Brock University</a>,"niagara #1 community #3 local #11, health #4, opportunities #12","Brock University: Innovation, Economic Development and Community Engagement",1228,14%,3,41%,28.6,Niagara,community,local,health,,,
Carleton University,"Vision, Mission and Mandate",https://voyant-tools.org/?corpus=3c9682a13f19d8675b7fb3e35aa4da2b,<a href='https://voyant-tools.org/?corpus=3c9682a13f19d8675b7fb3e35aa4da2b'>Carleton University</a>,"Region #2, Research #6","Carleton University: Vision, Mission and Mandate",643,5%,5,44%,33.8,capital region,hub,research,,,,
Carleton University,Student Experience,https://voyant-tools.org/?corpus=4b4c4342446cf0e0b7330324dd1f7cb8,<a href='https://voyant-tools.org/?corpus=4b4c4342446cf0e0b7330324dd1f7cb8'>Carleton University</a>,opportunities #7,Carleton University: Student Experience,1291,11%,8,36%,35.9,regional,experiential,co-curricular,opportunities,,,
Carleton University,Innovation in Teaching and Learning Excellence,https://voyant-tools.org/?corpus=008fa16e2eaa9d152e8464746dc0c419,<a href='https://voyant-tools.org/?corpus=008fa16e2eaa9d152e8464746dc0c419'>Carleton University</a>,"students #1, faculty #3, design #9",Carleton University: Innovation in Teaching and Learning Excellence,1177,10%,3,41%,49,research,high impact practices,community,experiential ,,,
