University,Metric,2016–17 Historical data,2017–18 Historical data,2018–19 Historical data,2020–21 Allowable performance target,Recorded
Institution A,Example: Graduation rate,76.00%,79.00%,77.00%,79.30%,"Friday November 27, 2020"
Algoma University,01. Graduate employment rate in a related field,87.88%,88.71%,84.48%,85.35%,"Friday November 27, 2020"
Algoma University,02. Institutional strength and focus,37.50%,38.24%,34.95%,33.04%,"Friday November 27, 2020"
Algoma University,03. Graduation rate,54.19%,57.79%,55.43%,55.04%,"Friday November 27, 2020"
Algoma University,04. Community and local impact of student enrolment,2.30%,2.09%,1.76%,1.98%,"Friday November 27, 2020"
Algoma University,05. Economic impact (institution-specific)," $13,098,880 "," $10,514,800 "," $13,997,100 "," $11,125,616 ","Friday November 27, 2020"
Algoma University,06. Research funding and capacity: federal tri-agency funding secured, $0 , $0 , $0 , $0 ,"Friday November 27, 2020"
Algoma University,07. Experiential learning,,,,,"Friday November 27, 2020"
Algoma University,08. Research revenue attracted from private sector sources,,,,,"Friday November 27, 2020"
Algoma University,09. Graduate employment earnings,,,,,"Friday November 27, 2020"
Algoma University,10. Skills and competencies,,,,,"Friday November 27, 2020"
Algoma University,Tri-agency research funding," $289,297 "," $273,208 "," $272,161 ",,"Friday November 27, 2020"
Brock University,01. Graduate employment rate in a related field,87.27%,89.23%,88.52%,87.70%,"Friday November 27, 2020"
Brock University,02. Institutional strength and focus,47.03%,48.70%,50.50%,49.18%,"Friday November 27, 2020"
Brock University,03. Graduation rate,73.87%,74.78%,75.76%,74.75%,"Friday November 27, 2020"
Brock University,04. Community and local impact of student enrolment,20.24%,20.40%,20.66%,20.38%,"Friday November 27, 2020"
Brock University,05. Economic impact (institution-specific),1614,1577,1637,1596,"Friday November 27, 2020"
Brock University,06. Research funding and capacity: federal tri-agency funding secured, $0.01 , $0.01 , $0.01 , $0.01 ,"Friday November 27, 2020"
Brock University,07. Experiential learning,,,,,"Friday November 27, 2020"
Brock University,08. Research revenue attracted from private sector sources,,,,,"Friday November 27, 2020"
Brock University,09. Graduate employment earnings,,,,,"Friday November 27, 2020"
Brock University,10. Skills and competencies,,,,,"Friday November 27, 2020"
Brock University,Tri-agency research funding," $4,346,768 "," $4,842,015 "," $4,908,478 ",,"Friday November 27, 2020"
Carleton University,01. Graduate employment rate in a related field,84.56%,85.55%,83.19%,83.75%,"Friday November 27, 2020"
Carleton University,02. Institutional strength and focus,44.14%,45.01%,45.61%,45.21%,"Friday November 27, 2020"
