University,Metric,2020-21,2021-22,2022-23,2023-24,2024-25,Updated
Algoma University,01. Graduate employment rate in a related field,520442,373770,253911,289790,307729,"Friday November 27, 2020"
Algoma University,02. Institutional strength and focus,520442,560654,652914,745173,791303,"Friday November 27, 2020"
Algoma University,03. Graduation rate,390331,529507,616641,703775,747342,"Friday November 27, 2020"
Algoma University,04. Community and local impact of student enrolment,390331,155737,181365,206993,219806,"Friday November 27, 2020"
Algoma University,05. Economic impact (institution-specific),520442,560654,652914,745173,791303,"Friday November 27, 2020"
Algoma University,06. Research funding and capacity: federal tri-agency funding secured,260221,155737,181365,206993,219806,"Friday November 27, 2020"
Algoma University,07. Experiential learning,0,155737,181365,206993,219806,"Friday November 27, 2020"
Algoma University,08. Research revenue attracted from private sector sources,0,155737,181365,206993,219806,"Friday November 27, 2020"
Algoma University,09. Graduate employment earnings,0,467212,544095,620978,659419,"Friday November 27, 2020"
Algoma University,10. Skills and competencies,0,0,181365,206993,219806,"Friday November 27, 2020"
Brock University,01. Graduate employment rate in a related field,1908201,1443430,1932773,2422117,2666789,"Friday November 27, 2020"
Brock University,02. Institutional strength and focus,3816402,5773719,7731094,9688469,10667156,"Friday November 27, 2020"
Brock University,03. Graduation rate,1908201,1443430,1932773,2422117,2666789,"Friday November 27, 2020"
Brock University,04. Community and local impact of student enrolment,6678704,8660578,9663867,12110586,13333945,"Friday November 27, 2020"
Brock University,05. Economic impact (institution-specific),2862302,5773719,7731094,9688469,10667156,"Friday November 27, 2020"
Brock University,06. Research funding and capacity: federal tri-agency funding secured,1908201,1443430,1932773,2422117,2666789,"Friday November 27, 2020"
Brock University,07. Experiential learning,0,1443430,1932773,2422117,2666789,"Friday November 27, 2020"
Brock University,08. Research revenue attracted from private sector sources,0,1443430,1932773,2422117,2666789,"Friday November 27, 2020"
Brock University,09. Graduate employment earnings,0,1443430,1932773,2422117,2666789,"Friday November 27, 2020"
Brock University,10. Skills and competencies,0,0,1932773,2422117,2666789,"Friday November 27, 2020"
Carleton University,01. Graduate employment rate in a related field,7103784,6746493,8295328,10138734,11060437,"Friday November 27, 2020"
Carleton University,02. Institutional strength and focus,7103784,6746493,8295328,10138734,11060437,"Friday November 27, 2020"
Carleton University,03. Graduation rate,7103784,6746493,8295328,10138734,11060437,"Friday November 27, 2020"
Carleton University,04. Community and local impact of student enrolment,7103784,6746493,8295328,10138734,11060437,"Friday November 27, 2020"
Carleton University,05. Economic impact (institution-specific),7103784,6746493,8295328,10138734,11060437,"Friday November 27, 2020"
Carleton University,06. Research funding and capacity: federal tri-agency funding secured,7103784,6746493,8295328,10138734,11060437,"Friday November 27, 2020"
Carleton University,07. Experiential learning,0,6746493,8295328,10138734,11060437,"Friday November 27, 2020"
Carleton University,08. Research revenue attracted from private sector sources,0,6746493,8295328,10138734,11060437,"Friday November 27, 2020"
Carleton University,09. Graduate employment earnings,0,6746493,8295328,10138734,11060437,"Friday November 27, 2020"
Carleton University,10. Skills and competencies,0,0,3929366,4802558,5239155,"Friday November 27, 2020"
Lakehead University,01. Graduate employment rate in a related field,1594526,1272227,1694052,2115877,2326790,"Friday November 27, 2020"
Lakehead University,02. Institutional strength and focus,2126034,3180566,4235130,5289694,5816975,"Friday November 27, 2020"
Lakehead University,03. Graduation rate,1063017,795142,1058782,1322423,1454244,"Friday November 27, 2020"
Lakehead University,04. Community and local impact of student enrolment,1063017,795142,1058782,1322423,1454244,"Friday November 27, 2020"
Lakehead University,05. Economic impact (institution-specific),3720560,3816680,4023373,5025209,5526127,"Friday November 27, 2020"
Lakehead University,06. Research funding and capacity: federal tri-agency funding secured,1063017,795142,1058782,1322423,1454244,"Friday November 27, 2020"
Lakehead University,07. Experiential learning,0,3180566,4235130,5289694,5816975,"Friday November 27, 2020"
Lakehead University,08. Research revenue attracted from private sector sources,0,795142,1058782,1322423,1454244,"Friday November 27, 2020"
Lakehead University,09. Graduate employment earnings,0,1272227,1694052,2115877,2326790,"Friday November 27, 2020"
Lakehead University,10. Skills and competencies,0,0,1058782,1322423,1454244,"Friday November 27, 2020"
Laurentian University,01. Graduate employment rate in a related field,1621326,3259957,4087949,4915941,5329937,"Friday November 27, 2020"
Laurentian University,02. Institutional strength and focus,3891183,3259957,4087949,4915941,5329937,"Friday November 27, 2020"
Laurentian University,03. Graduation rate,3729050,3259957,4087949,4915941,5329937,"Friday November 27, 2020"
Laurentian University,04. Community and local impact of student enrolment,3729050,3259957,4087949,4915941,5329937,"Friday November 27, 2020"
Laurentian University,05. Economic impact (institution-specific),1621326,3259957,2725299,3277294,3553292,"Friday November 27, 2020"
Laurentian University,06. Research funding and capacity: federal tri-agency funding secured,1621326,1086652,1362650,1638647,1776646,"Friday November 27, 2020"
Laurentian University,07. Experiential learning,0,2173305,2725299,3277294,3553292,"Friday November 27, 2020"
Laurentian University,08. Research revenue attracted from private sector sources,0,1086652,1362650,1638647,1776646,"Friday November 27, 2020"
Laurentian University,09. Graduate employment earnings,0,1086652,1362650,1638647,1776646,"Friday November 27, 2020"
Laurentian University,10. Skills and competencies,0,0,1362650,1638647,1776646,"Friday November 27, 2020"
McMaster University,01. Graduate employment rate in a related field,9387242,13142139,16897035,20651932,22529380,"Saturday November 28, 2020"
McMaster University,02. Institutional strength and focus,6258161,4380713,5632345,6883977,7509793,"Saturday November 28, 2020"
McMaster University,03. Graduation rate,12516322,4380713,5632345,6883977,7509793,"Saturday November 28, 2020"
McMaster University,04. Community and local impact of student enrolment,9387242,21903564,28161725,34419887,37548967,"Saturday November 28, 2020"
McMaster University,05. Economic impact (institution-specific),15645403,8761426,11264690,13767955,15019587,"Saturday November 28, 2020"
McMaster University,06. Research funding and capacity: federal tri-agency funding secured,9387242,13142139,16897035,20651932,22529380,"Saturday November 28, 2020"
McMaster University,07. Experiential learning,0,8761426,11264690,13767955,15019587,"Saturday November 28, 2020"
McMaster University,08. Research revenue attracted from private sector sources,0,8761426,5632345,6883977,7509793,"Saturday November 28, 2020"
McMaster University,09. Graduate employment earnings,0,4380713,5632345,6883977,7509793,"Saturday November 28, 2020"
McMaster University,10. Skills and competencies,0,0,5632345,6883977,7509793,"Saturday November 28, 2020"
Nipissing University,01. Graduate employment rate in a related field,856338,581505,717803,854101,922250,"Saturday November 28, 2020"
Nipissing University,02. Institutional strength and focus,2997183,3489028,1435606,1708202,1844500,"Saturday November 28, 2020"
Nipissing University,03. Graduation rate,856338,581505,717803,854101,922250,"Saturday November 28, 2020"
Nipissing University,04. Community and local impact of student enrolment,2140845,2907523,2871211,3416404,3689000,"Saturday November 28, 2020"
Nipissing University,05. Economic impact (institution-specific),856338,1163009,2871211,3416404,3689000,"Saturday November 28, 2020"
Nipissing University,06. Research funding and capacity: federal tri-agency funding secured,856338,581505,717803,854101,922250,"Saturday November 28, 2020"
Nipissing University,07. Experiential learning,0,1163009,2871211,3416404,3689000,"Saturday November 28, 2020"
Nipissing University,08. Research revenue attracted from private sector sources,0,581505,717803,854101,922250,"Saturday November 28, 2020"
Nipissing University,09. Graduate employment earnings,0,581505,717803,854101,922250,"Saturday November 28, 2020"
Nipissing University,10. Skills and competencies,0,0,717803,854101,922250,"Saturday November 28, 2020"
OCADu,01. Graduate employment rate in a related field,631025,883434,567922,694127,757230,"Saturday November 28, 2020"
OCADu,02. Institutional strength and focus,1893074,2208586,2839611,3470635,3786148,"Saturday November 28, 2020"
