University,Strength
Algoma University,Biology
Algoma University,Computer Science
Algoma University,Law and Justice
Algoma University,Psychology
Brock University,Health
Brock University,Well-being
Brock University,Scientific and Technological Applications
Carleton University,Interdisciplinary Programs
Lakehead University,Sustainability
Lakehead University,Social justice
Lakehead University,Education
Lakehead University,"Education, Indigenous"
Laurentian University,Mining
Laurentian University,Environmental stewardship
Laurentian University,Architecture 
Laurentian University,Interdisciplinary
McMaster University,Human and societal health and well-being
McMaster University,Health
McMaster University,Well-being
McMaster University,Interdisciplinary
Nipissing University,Education
OCADu,Design
OCADu,Digital
Queen's University,Engineering
Queen's University,Computer Science
Queen's University,Business
Queen's University,Arts
Queen's University,Sciences
Queen's University,Health Sciences
Ryerson University,Innovation
Ryerson University,Entrepreneurship
Ryerson University,Design
Ryerson University,Management
Ryerson University,Technology
Ryerson University,Competitiveness
Ryerson University,Creative Economy and Culture
Ryerson University,Health
Trent University,Humanities
Trent University,Sciences
Trent University,Social Sciences
Trent University,Professional Programs
Université de Hearst,Business
University of Guelph,Science
University of Guelph,Technology
University of Guelph,Engineering
University of Guelph,Mathematics 
University of Guelph,STEM
University of Guelph,Veterinary Sciences
University of Ottawa,Analytics 
University of Ottawa,Artificial Intelligence
University of Toronto,Arts
University of Toronto,Science
University of Waterloo,Engineering
University of Waterloo,Mathematics 
University of Waterloo,Computer Science
University of Windsor,Business
University of Windsor,Communication
University of Windsor,Media and Film
University of Windsor,Engineering
University of Windsor,"Engineering, Electrical"
University of Windsor,Health Sciences
University of Windsor,Law
University of Windsor,Psychology
OTU (UOIT),Engineering
OTU (UOIT),Computer Science
OTU (UOIT),Information Technology
Western University,Professional
Western University,Quasi-Professional
Western University,Second-Entry Programs
Wilfrid Laurier University,Arts
Wilfrid Laurier University,Science
York University,Engineering 
York University,"Engineering, Computer"
York University,Digital media
York University,Business
York University,Management
York University,Marketing
York University,Health
York University,Health care
