University,Projected,2020-21,2021-22,2022-23,2023-24,2024-25,Updated
Algoma University,Undergraduate FFTE,584,830,838,933,1024,"Friday November 27, 2020"
Algoma University,Master’s FFTE,0,0,0,0,0,"Friday November 27, 2020"
Algoma University,Doctoral FFTE,0,0,0,0,0,"Friday November 27, 2020"
Algoma University,Total FFTE,584,830,838,933,1024,"Friday November 27, 2020"
Brock University,Undergraduate FFTE,14233,14144,14344,14236,14115,"Friday November 27, 2020"
Brock University,Master’s FFTE,893,945,983,1005,1023,"Friday November 27, 2020"
Brock University,Doctoral FFTE,122,129,134,137,140,"Friday November 27, 2020"
Brock University,Total FFTE,15248,15218,15461,15378,15278,"Friday November 27, 2020"
Carleton University,Undergraduate FFTE,21014,21240,21629,22174,22664,"Friday November 27, 2020"
Carleton University,Master’s FFTE,1958,2022,2022,2022,2022,"Friday November 27, 2020"
Carleton University,Doctoral FFTE,728,755,783,783,783,"Friday November 27, 2020"
Carleton University,Total FFTE,23699,24017,24434,24979,25469,"Friday November 27, 2020"
Lakehead University,Undergraduate FFTE,6048,6222,6532,6804,6930,"Friday November 27, 2020"
Lakehead University,Master’s FFTE,545,604,638,645,654,"Friday November 27, 2020"
Lakehead University,Doctoral FFTE,63,68,78,96,104,"Friday November 27, 2020"
Lakehead University,Total FFTE,6656,6894,7248,7545,7688,"Friday November 27, 2020"
Laurentian University,Undergraduate FFTE,6519,6519,6519,6519,6519,"Friday November 27, 2020"
Laurentian University,Master’s FFTE,434,474,504,504,504,"Friday November 27, 2020"
Laurentian University,Doctoral FFTE,121,130,130,130,131,"Friday November 27, 2020"
Laurentian University,Total FFTE,7074,7123,7153,7153,7154,"Friday November 27, 2020"
McMaster University,Undergraduate FFTE,22727,22879,23105,23301,23428,"Saturday November 28, 2020"
McMaster University,Master’s FFTE,1875,1906,1941,1948,1958,"Saturday November 28, 2020"
McMaster University,Doctoral FFTE,979,982,987,994,997,"Saturday November 28, 2020"
McMaster University,Total FFTE,25582,25767,26033,26243,26383,"Saturday November 28, 2020"
Nipissing University,Undergraduate FFTE,4095,4055,4105,4105,4105,"Saturday November 28, 2020"
Nipissing University,Master’s FFTE,90,90,85,85,85,"Saturday November 28, 2020"
Nipissing University,Doctoral FFTE,27,29,30,30,30,"Saturday November 28, 2020"
Nipissing University,Total FFTE,4212,4174,4220,4220,4220,"Saturday November 28, 2020"
OCADu,Undergraduate FFTE,2960,2976,3008,3106,3112,"Saturday November 28, 2020"
OCADu,Master’s FFTE,197,201,201,194,187,"Saturday November 28, 2020"
OCADu,Doctoral FFTE,-,-,-,3,6,"Saturday November 28, 2020"
OCADu,Total FFTE,3157,3177,3209,3303,3305,"Saturday November 28, 2020"
Queen's University,Undergraduate FFTE,19481,19525,19746,19870,20010,"Saturday November 28, 2020"
Queen's University,Master’s FFTE,2726,2767,2808,2850,2893,"Saturday November 28, 2020"
Queen's University,Doctoral FFTE,847,884,897,910,924,"Saturday November 28, 2020"
Queen's University,Total FFTE,23054,23176,23451,23630,23827,"Saturday November 28, 2020"
Ryerson University,Undergraduate FFTE,34000,34400,34400,34400,34400,"Saturday November 28, 2020"
Ryerson University,Master’s FFTE,1790,1800,1810,1830,1830,"Saturday November 28, 2020"
Ryerson University,Doctoral FFTE,450,470,500,530,530,"Saturday November 28, 2020"
Ryerson University,Total FFTE,36240,36670,36710,36760,36760,"Saturday November 28, 2020"
Trent University,Undergraduate FFTE,8750,9050,9250,9450,9550,"Saturday November 28, 2020"
Trent University,Master’s FFTE,600,625,650,675,700,"Saturday November 28, 2020"
Trent University,Doctoral FFTE,200,200,200,200,200,"Saturday November 28, 2020"
Trent University,Total FFTE,9550,9875,10100,10325,10450,"Saturday November 28, 2020"
Université de Hearst,Undergraduate FFTE,85,85,87,95,100,"Saturday November 28, 2020"
Université de Hearst,Master’s FFTE,0,0,0,0,0,"Saturday November 28, 2020"
Université de Hearst,Doctoral FFTE,0,0,0,0,0,"Saturday November 28, 2020"
Université de Hearst,Total FFTE,85,85,87,95,100,"Saturday November 28, 2020"
University of Guelph,Undergraduate FFTE,24000,24050,24075,24100,24150,"Saturday November 28, 2020"
University of Guelph,Master’s FFTE,1450,1500,1550,1600,1650,"Saturday November 28, 2020"
University of Guelph,Doctoral FFTE,615,620,625,630,635,"Saturday November 28, 2020"
University of Guelph,Total FFTE,26065,26170,26250,26330,26435,"Saturday November 28, 2020"
University of Ottawa,Undergraduate FFTE,27826,27922,27933,27933,27933,"Saturday November 28, 2020"
University of Ottawa,Master’s FFTE,2857,2932,3007,3082,3157,"Saturday November 28, 2020"
University of Ottawa,Doctoral FFTE,1180,1205,1230,1255,1280,"Saturday November 28, 2020"
University of Ottawa,Total FFTE,31863,32058,32169,32269,32369,"Saturday November 28, 2020"
University of Toronto,Undergraduate FFTE,50654,50770,51188,51546,51623,"Saturday November 28, 2020"
