University,Projected,2020-21,2021-22,2022-23,2023-24,2024-25,Updated
Algoma University,Undergraduate FFTE,1155,1220,1383,1446,1571,"Friday November 27, 2020"
Algoma University,Master’s FFTE,0,0,0,0,0,"Friday November 27, 2020"
Algoma University,Doctoral FFTE,0,0,0,0,0,"Friday November 27, 2020"
Algoma University,Total FFTE,1155,1220,1383,1446,1571,"Friday November 27, 2020"
Brock University,Undergraduate FFTE,1882,2105,2265,2383,2522,"Friday November 27, 2020"
Brock University,Master’s FFTE,659,675,693,707,721,"Friday November 27, 2020"
Brock University,Doctoral FFTE,50,51,52,53,54,"Friday November 27, 2020"
Brock University,Total FFTE,2591,2831,3010,3143,3297,"Friday November 27, 2020"
Carleton University,Undergraduate FFTE,3256,3291,3355,3458,3573,"Friday November 27, 2020"
Carleton University,Master’s FFTE,850,850,850,850,850,"Friday November 27, 2020"
Carleton University,Doctoral FFTE,128,128,128,128,128,"Friday November 27, 2020"
Carleton University,Total FFTE,4234,4269,4333,4436,4551,"Friday November 27, 2020"
Lakehead University,Undergraduate FFTE,721,765,790,844,853,"Friday November 27, 2020"
Lakehead University,Master’s FFTE,714,749,758,821,817,"Friday November 27, 2020"
Lakehead University,Doctoral FFTE,52,52,51,55,58,"Friday November 27, 2020"
Lakehead University,Total FFTE,1487,1566,1599,1720,1728,"Friday November 27, 2020"
Laurentian University,Undergraduate FFTE,373,379,372,363,358,"Friday November 27, 2020"
Laurentian University,Master’s FFTE,145,148,149,151,152,"Friday November 27, 2020"
Laurentian University,Doctoral FFTE,44,45,46,48,49,"Friday November 27, 2020"
Laurentian University,Total FFTE,562,572,568,561,560,"Friday November 27, 2020"
McMaster University,Undergraduate FFTE,4096,4595,5058,5423,5687,"Saturday November 28, 2020"
McMaster University,Master’s FFTE,845,840,858,861,863,"Saturday November 28, 2020"
McMaster University,Doctoral FFTE,505,528,539,543,547,"Saturday November 28, 2020"
McMaster University,Total FFTE,5445,5963,6455,6828,7097,"Saturday November 28, 2020"
Nipissing University,Undergraduate FFTE,100,200,400,400,400,"Saturday November 28, 2020"
Nipissing University,Master’s FFTE,4,6,8,10,12,"Saturday November 28, 2020"
Nipissing University,Doctoral FFTE,0,0,0,0,0,"Saturday November 28, 2020"
Nipissing University,Total FFTE,104,206,408,410,412,"Saturday November 28, 2020"
OCADu,Undergraduate FFTE,1004,1150,1310,1482,1744,"Saturday November 28, 2020"
OCADu,Master’s FFTE,83,91,111,138,145,"Saturday November 28, 2020"
OCADu,Doctoral FFTE,0,0,0,2,4,"Saturday November 28, 2020"
OCADu,Total FFTE,1087,1241,1421,1622,1893,"Saturday November 28, 2020"
Queen's University,Undergraduate FFTE,2336,2524,2797,2925,2976,"Saturday November 28, 2020"
Queen's University,Master’s FFTE,694,748,785,824,865,"Saturday November 28, 2020"
Queen's University,Doctoral FFTE,447,485,506,531,558,"Saturday November 28, 2020"
Queen's University,Total FFTE,3477,3757,4088,4280,4399,"Saturday November 28, 2020"
Ryerson University,Undergraduate FFTE,3200,3900,4600,5300,5700,"Saturday November 28, 2020"
Ryerson University,Master’s FFTE,300,300,300,310,330,"Saturday November 28, 2020"
Ryerson University,Doctoral FFTE,100,110,120,140,170,"Saturday November 28, 2020"
Ryerson University,Total FFTE,3600,4310,5020,5750,6200,"Saturday November 28, 2020"
Trent University,Undergraduate FFTE,1000,1150,1300,1400,1450,"Saturday November 28, 2020"
Trent University,Master’s FFTE,275,350,425,475,550,"Saturday November 28, 2020"
Trent University,Doctoral FFTE,25,25,25,25,25,"Saturday November 28, 2020"
Trent University,Total FFTE,1300,1525,1750,1900,2025,"Saturday November 28, 2020"
Université de Hearst,Undergraduate FFTE,115,100,85,105,125,"Saturday November 28, 2020"
Université de Hearst,Master’s FFTE,0,0,0,0,0,"Saturday November 28, 2020"
Université de Hearst,Doctoral FFTE,0,0,0,0,0,"Saturday November 28, 2020"
Université de Hearst,Total FFTE,115,100,85,105,125,"Saturday November 28, 2020"
University of Guelph,Undergraduate FFTE,1400,1850,2300,2750,3200,"Saturday November 28, 2020"
University of Guelph,Master’s FFTE,345,360,375,390,405,"Saturday November 28, 2020"
University of Guelph,Doctoral FFTE,230,235,240,245,250,"Saturday November 28, 2020"
University of Guelph,Total FFTE,1975,2445,2915,3385,3855,"Saturday November 28, 2020"
University of Ottawa,Undergraduate FFTE,5295,5395,5495,5595,5695,"Saturday November 28, 2020"
University of Ottawa,Master’s FFTE,1606,1621,1636,1651,1666,"Saturday November 28, 2020"
University of Ottawa,Doctoral FFTE,579,604,629,654,679,"Saturday November 28, 2020"
University of Ottawa,Total FFTE,7480,7620,7760,7900,8040,"Saturday November 28, 2020"
University of Toronto,Undergraduate FFTE,19295,19935,20266,20478,20516,"Saturday November 28, 2020"
University of Toronto,Master’s FFTE,2482,2544,2551,2608,2682,"Saturday November 28, 2020"
University of Toronto,Doctoral FFTE,1295,1425,1517,1549,1574,"Saturday November 28, 2020"
University of Toronto,Total FFTE,23072,23904,24334,24635,24772,"Saturday November 28, 2020"
University of Waterloo,Undergraduate FFTE,7400,7700,8000,8300,8700,"Saturday November 28, 2020"
University of Waterloo,Master’s FFTE,1200,1200,1300,1300,1400,"Saturday November 28, 2020"
University of Waterloo,Doctoral FFTE,900,900,900,900,900,"Saturday November 28, 2020"
University of Waterloo,Total FFTE,9500,9800,10200,10500,11000,"Saturday November 28, 2020"
University of Windsor,Undergraduate FFTE,920,930,940,950,955,"Saturday November 28, 2020"
University of Windsor,Master’s FFTE,3340,3360,3270,3180,3180,"Saturday November 28, 2020"
University of Windsor,Doctoral FFTE,100,105,120,120,121,"Saturday November 28, 2020"
University of Windsor,Total FFTE,4360,4395,4330,4250,4256,"Saturday November 28, 2020"
OTU (UOIT),Undergraduate FFTE,610,800,1075,1400,1600,"Saturday November 28, 2020"
OTU (UOIT),Master’s FFTE,155,185,225,250,260,"Saturday November 28, 2020"
OTU (UOIT),Doctoral FFTE,65,75,85,95,105,"Saturday November 28, 2020"
OTU (UOIT),Total FFTE,830,1060,1385,1745,1965,"Saturday November 28, 2020"
Western University,Undergraduate FFTE,4726,5198,5718,6290,6918,"Saturday November 28, 2020"
Western University,Master’s FFTE,1072,1104,1126,1149,1172,"Saturday November 28, 2020"
Western University,Doctoral FFTE,683,697,711,725,740,"Saturday November 28, 2020"
Western University,Total FFTE,6481,6999,7555,8164,8830,"Saturday November 28, 2020"
Wilfrid Laurier University,Undergraduate FFTE,1420,1460,1490,1520,1570,"Saturday November 28, 2020"
Wilfrid Laurier University,Master’s FFTE,120,120,120,120,120,"Saturday November 28, 2020"
Wilfrid Laurier University,Doctoral FFTE,10,10,10,10,10,"Saturday November 28, 2020"
Wilfrid Laurier University,Total FFTE,1550,1590,1620,1650,1700,"Saturday November 28, 2020"
York University,Undergraduate FFTE,8674,9694,10490,11048,11403,"Saturday November 28, 2020"
York University,Master’s FFTE,838,839,837,811,811,"Saturday November 28, 2020"
York University,Doctoral FFTE,196,250,297,341,361,"Saturday November 28, 2020"
York University,Total FFTE,9708,10783,11624,12200,12575,"Saturday November 28, 2020"
