College,Metric,Year,Percent,Funding Allocation
Algonquin College,01. Graduate employment rate in a related field,2020–21,10%,"$2,778,755.00"
Algonquin College,02. Institutiol strength and focus,2020–21,35%,"$9,725,641.00"
Algonquin College,03. Graduation rate,2020–21,10%,"$2,778,755.00"
Algonquin College,04. Community and local impact of student enrolment,2020–21,35%,"$9,725,641.00"
Algonquin College,05. Economic impact (institution-specific),2020–21,10%,"$2,778,755.00"
Algonquin College,06. Graduate employment earnings,2020–21,,
Algonquin College,07. Experiential learning,2020–21,,
Algonquin College,08. Revenue attracted from private sector sources,2020–21,,
Algonquin College,09. Apprenticeship-related (institution-specific),2020–21,,
Algonquin College,10. Skills and competencies,2020–21,,
Algonquin College,01. Graduate employment rate in a related field,2021-22,5%,"$1,945,128.00"
Algonquin College,02. Institutiol strength and focus,2021-22,20%,"$7,780,513.00"
Algonquin College,03. Graduation rate,2021-22,15%,"$5,835,385.00"
Algonquin College,04. Community and local impact of student enrolment,2021-22,20%,"$7,780,513.00"
Algonquin College,05. Economic impact (institution-specific),2021-22,20%,"$7,780,513.00"
Algonquin College,06. Graduate employment earnings,2021-22,5%,"$1,945,128.00"
Algonquin College,07. Experiential learning,2021-22,10%,"$3,890,257.00"
Algonquin College,08. Revenue attracted from private sector sources,2021-22,5%,"$1,945,128.00"
Algonquin College,09. Apprenticeship-related (institution-specific),2021-22,,
Algonquin College,10. Skills and competencies,2021-22,,
Algonquin College,01. Graduate employment rate in a related field,2022-23,5%,"$2,500,879.00"
Algonquin College,02. Institutiol strength and focus,2022-23,15%,"$7,502,638.00"
Algonquin College,03. Graduation rate,2022-23,10%,"$5,001,758.00"
Algonquin College,04. Community and local impact of student enrolment,2022-23,15%,"$7,502,638.00"
Algonquin College,05. Economic impact (institution-specific),2022-23,15%,"$7,502,638.00"
Algonquin College,06. Graduate employment earnings,2022-23,5%,"$2,500,879.00"
Algonquin College,07. Experiential learning,2022-23,15%,"$7,502,638.00"
Algonquin College,08. Revenue attracted from private sector sources,2022-23,5%,"$2,500,879.00"
Algonquin College,09. Apprenticeship-related (institution-specific),2022-23,10%,"$5,001,758.00"
Algonquin College,10. Skills and competencies,2022-23,5%,"$2,500,879.00"
Algonquin College,01. Graduate employment rate in a related field,2023-24,5%,"$3,056,630.00"
Algonquin College,02. Institutiol strength and focus,2023-24,15%,"$9,169,890.00"
Algonquin College,03. Graduation rate,2023-24,10%,"$6,113,260.00"
Algonquin College,04. Community and local impact of student enrolment,2023-24,15%,"$9,169,890.00"
Algonquin College,05. Economic impact (institution-specific),2023-24,15%,"$9,169,890.00"
Algonquin College,06. Graduate employment earnings,2023-24,5%,"$3,056,630.00"
Algonquin College,07. Experiential learning,2023-24,15%,"$9,169,890.00"
Algonquin College,08. Revenue attracted from private sector sources,2023-24,5%,"$3,056,630.00"
Algonquin College,09. Apprenticeship-related (institution-specific),2023-24,10%,"$6,113,260.00"
Algonquin College,10. Skills and competencies,2023-24,5%,"$3,056,630.00"
Algonquin College,01. Graduate employment rate in a related field,2024-25,5%,"$3,334,506.00"
Algonquin College,02. Institutiol strength and focus,2024-25,15%,"$10,003,517.00"
Algonquin College,03. Graduation rate,2024-25,10%,"$6,669,011.00"
Algonquin College,04. Community and local impact of student enrolment,2024-25,15%,"$10,003,517.00"
Algonquin College,05. Economic impact (institution-specific),2024-25,15%,"$10,003,517.00"
Algonquin College,06. Graduate employment earnings,2024-25,5%,"$3,334,506.00"
Algonquin College,07. Experiential learning,2024-25,15%,"$10,003,517.00"
Algonquin College,08. Revenue attracted from private sector sources,2024-25,5%,"$3,334,506.00"
Algonquin College,09. Apprenticeship-related (institution-specific),2024-25,10%,"$6,669,011.00"
Algonquin College,10. Skills and competencies,2024-25,5%,"$3,334,506.00"
Cambrian College,01. Graduate employment rate in a related field,2020–21,10%,"$634,460.00"
Cambrian College,02. Institutiol strength and focus,2020–21,25%,"$1,586,149.00"
Cambrian College,03. Graduation rate,2020–21,15%,"$951,689.00"
Cambrian College,04. Community and local impact of student enrolment,2020–21,25%,"$1,586,149.00"
Cambrian College,05. Economic impact (institution-specific),2020–21,25%,"$1,586,149.00"
Cambrian College,06. Graduate employment earnings,2020–21,,
Cambrian College,07. Experiential learning,2020–21,,
Cambrian College,08. Revenue attracted from private sector sources,2020–21,,
Cambrian College,09. Apprenticeship-related (institution-specific),2020–21,,
Cambrian College,10. Skills and competencies,2020–21,,
Cambrian College,01. Graduate employment rate in a related field,2021-22,10%,"$875,793.00"
Cambrian College,02. Institutiol strength and focus,2021-22,20%,"$1,751,587.00"
Cambrian College,03. Graduation rate,2021-22,10%,"$875,793.00"
Cambrian College,04. Community and local impact of student enrolment,2021-22,15%,"$1,313,690.00"
Cambrian College,05. Economic impact (institution-specific),2021-22,20%,"$1,751,587.00"
Cambrian College,06. Graduate employment earnings,2021-22,5%,"$437,897.00"
Cambrian College,07. Experiential learning,2021-22,10%,"$875,793.00"
Cambrian College,08. Revenue attracted from private sector sources,2021-22,10%,"$875,793.00"
Cambrian College,09. Apprenticeship-related (institution-specific),2021-22,,
Cambrian College,10. Skills and competencies,2021-22,,
Cambrian College,01. Graduate employment rate in a related field,2022-23,10%,"$1,117,127.00"
Cambrian College,02. Institutiol strength and focus,2022-23,15%,"$1,675,691.00"
Cambrian College,03. Graduation rate,2022-23,10%,"$1,117,127.00"
Cambrian College,04. Community and local impact of student enrolment,2022-23,10%,"$1,117,127.00"
Cambrian College,05. Economic impact (institution-specific),2022-23,15%,"$1,675,691.00"
Cambrian College,06. Graduate employment earnings,2022-23,5%,"$558,564.00"
Cambrian College,07. Experiential learning,2022-23,10%,"$1,117,127.00"
Cambrian College,08. Revenue attracted from private sector sources,2022-23,10%,"$1,117,127.00"
Cambrian College,09. Apprenticeship-related (institution-specific),2022-23,10%,"$1,117,127.00"
